name;combatType;damageType;damage;speed;strength;value
Varscona;MELEE;SLASHING;11;3;5;4250
Tuigan Bow;RANGED;MISSILE;1;5;6;3500
Crom Faeyr;MELEE;BLUNT;16;1;25;15500
Broken Weapon;NONE;NONE;0;0;0;0
Carsomyr;MELEE;SLASHING;17;5;14;20000
Flail of Ages;MELEE;BLUNT;13;4;13;4500
Boomerang Dagger;RANGED;PIERCING;10;1;3;3500
Dagger of Venom;MELEE;PIERCING;6;0;3;10000
Heartseeker;RANGED;MISSILE;2;4;18;7800
Strong Arm;RANGED;MISSILE;3;5;19;5500
Kundane;MELEE;SLASHING;8;0;5;4000
The Burning Earth;MELEE;SLASHING;12;4;5;4750
Daystar;MELEE;SLASHING;12;3;6;10000
Long Sword +1;MELEE;SLASHING;9;4;6;1250
Long Sword +1;MELEE;SLASHING;9;4;6;1250
Long Sword +1;MELEE;SLASHING;9;4;6;1250
